loss,epoch,idx
"tf.Tensor(0.4890949, shape=(), dtype=float32)",1,208
"tf.Tensor(0.49464846, shape=(), dtype=float32)",1,209
"tf.Tensor(0.48782438, shape=(), dtype=float32)",1,210
"tf.Tensor(0.4906931, shape=(), dtype=float32)",1,211
"tf.Tensor(0.5004598, shape=(), dtype=float32)",1,212
"tf.Tensor(0.49097508, shape=(), dtype=float32)",1,213
"tf.Tensor(0.47770646, shape=(), dtype=float32)",1,214
"tf.Tensor(0.49209696, shape=(), dtype=float32)",1,215
"tf.Tensor(0.50004107, shape=(), dtype=float32)",1,216
"tf.Tensor(0.49234468, shape=(), dtype=float32)",1,217
"tf.Tensor(0.4962473, shape=(), dtype=float32)",1,218
"tf.Tensor(0.4921133, shape=(), dtype=float32)",1,219
"tf.Tensor(0.48321474, shape=(), dtype=float32)",1,220
"tf.Tensor(0.48723328, shape=(), dtype=float32)",1,221
"tf.Tensor(0.4805656, shape=(), dtype=float32)",1,222
"tf.Tensor(0.49749523, shape=(), dtype=float32)",1,223
"tf.Tensor(0.5090535, shape=(), dtype=float32)",1,224
"tf.Tensor(0.48750985, shape=(), dtype=float32)",1,225
"tf.Tensor(0.46529716, shape=(), dtype=float32)",1,226
"tf.Tensor(0.48595822, shape=(), dtype=float32)",1,227
"tf.Tensor(0.49208313, shape=(), dtype=float32)",1,228
"tf.Tensor(0.47225183, shape=(), dtype=float32)",1,229
"tf.Tensor(0.49272928, shape=(), dtype=float32)",1,230
"tf.Tensor(0.4753315, shape=(), dtype=float32)",1,231
"tf.Tensor(0.491382, shape=(), dtype=float32)",1,232
"tf.Tensor(0.47111455, shape=(), dtype=float32)",1,233
"tf.Tensor(0.46502924, shape=(), dtype=float32)",1,234
"tf.Tensor(0.47591448, shape=(), dtype=float32)",1,235
"tf.Tensor(0.47803771, shape=(), dtype=float32)",1,236
"tf.Tensor(0.46675283, shape=(), dtype=float32)",1,237
"tf.Tensor(0.48212004, shape=(), dtype=float32)",1,238
"tf.Tensor(0.48497447, shape=(), dtype=float32)",1,239
"tf.Tensor(0.4881842, shape=(), dtype=float32)",1,240
"tf.Tensor(0.49148715, shape=(), dtype=float32)",1,241
"tf.Tensor(0.48626435, shape=(), dtype=float32)",1,242
"tf.Tensor(0.48136014, shape=(), dtype=float32)",1,243
"tf.Tensor(0.48589528, shape=(), dtype=float32)",1,244
"tf.Tensor(0.47154912, shape=(), dtype=float32)",1,245
"tf.Tensor(0.48280135, shape=(), dtype=float32)",1,246
"tf.Tensor(0.48472166, shape=(), dtype=float32)",1,247
"tf.Tensor(0.49961677, shape=(), dtype=float32)",1,248
"tf.Tensor(0.49359494, shape=(), dtype=float32)",1,249
"tf.Tensor(0.47952786, shape=(), dtype=float32)",1,250
"tf.Tensor(0.47124493, shape=(), dtype=float32)",1,251
"tf.Tensor(0.49348256, shape=(), dtype=float32)",1,252
"tf.Tensor(0.4663915, shape=(), dtype=float32)",1,253
"tf.Tensor(0.4827571, shape=(), dtype=float32)",1,254
"tf.Tensor(0.4808979, shape=(), dtype=float32)",1,255
"tf.Tensor(0.47734964, shape=(), dtype=float32)",1,256
"tf.Tensor(0.50110734, shape=(), dtype=float32)",1,257
"tf.Tensor(0.49225396, shape=(), dtype=float32)",1,258
"tf.Tensor(0.47341764, shape=(), dtype=float32)",1,259
"tf.Tensor(0.48720026, shape=(), dtype=float32)",1,260
"tf.Tensor(0.47496402, shape=(), dtype=float32)",1,261
"tf.Tensor(0.4760291, shape=(), dtype=float32)",1,262
"tf.Tensor(0.48220646, shape=(), dtype=float32)",1,263
"tf.Tensor(0.47515404, shape=(), dtype=float32)",1,264
"tf.Tensor(0.46998072, shape=(), dtype=float32)",1,265
"tf.Tensor(0.47430432, shape=(), dtype=float32)",1,266
"tf.Tensor(0.4889778, shape=(), dtype=float32)",1,267
"tf.Tensor(0.4604906, shape=(), dtype=float32)",1,268
"tf.Tensor(0.48573503, shape=(), dtype=float32)",1,269
"tf.Tensor(0.49283624, shape=(), dtype=float32)",1,270
"tf.Tensor(0.49559373, shape=(), dtype=float32)",1,271
"tf.Tensor(0.4781917, shape=(), dtype=float32)",1,272
"tf.Tensor(0.45738262, shape=(), dtype=float32)",1,273
"tf.Tensor(0.4837674, shape=(), dtype=float32)",1,274
"tf.Tensor(0.48754552, shape=(), dtype=float32)",1,275
"tf.Tensor(0.48195702, shape=(), dtype=float32)",1,276
"tf.Tensor(0.48252416, shape=(), dtype=float32)",1,277
"tf.Tensor(0.4738139, shape=(), dtype=float32)",1,278
"tf.Tensor(0.46595263, shape=(), dtype=float32)",1,279
"tf.Tensor(0.46912098, shape=(), dtype=float32)",1,280
"tf.Tensor(0.47882926, shape=(), dtype=float32)",1,281
"tf.Tensor(0.46396685, shape=(), dtype=float32)",1,282
"tf.Tensor(0.4753092, shape=(), dtype=float32)",1,283
"tf.Tensor(0.4911164, shape=(), dtype=float32)",1,284
"tf.Tensor(0.49086925, shape=(), dtype=float32)",1,285
"tf.Tensor(0.49807543, shape=(), dtype=float32)",1,286
"tf.Tensor(0.47562325, shape=(), dtype=float32)",1,287
"tf.Tensor(0.46528944, shape=(), dtype=float32)",1,288
"tf.Tensor(0.4822719, shape=(), dtype=float32)",1,289
"tf.Tensor(0.48986453, shape=(), dtype=float32)",1,290
"tf.Tensor(0.48105723, shape=(), dtype=float32)",1,291
"tf.Tensor(0.47397602, shape=(), dtype=float32)",1,292
"tf.Tensor(0.4790398, shape=(), dtype=float32)",1,293
"tf.Tensor(0.4810409, shape=(), dtype=float32)",1,294
"tf.Tensor(0.490884, shape=(), dtype=float32)",1,295
"tf.Tensor(0.48010564, shape=(), dtype=float32)",1,296
"tf.Tensor(0.48236006, shape=(), dtype=float32)",1,297
"tf.Tensor(0.4787665, shape=(), dtype=float32)",1,298
"tf.Tensor(0.48744375, shape=(), dtype=float32)",1,299
"tf.Tensor(0.47996277, shape=(), dtype=float32)",1,300
"tf.Tensor(0.46798506, shape=(), dtype=float32)",1,301
"tf.Tensor(0.4844071, shape=(), dtype=float32)",1,302
"tf.Tensor(0.47830355, shape=(), dtype=float32)",1,303
"tf.Tensor(0.47151858, shape=(), dtype=float32)",1,304
"tf.Tensor(0.4657106, shape=(), dtype=float32)",1,305
"tf.Tensor(0.49109635, shape=(), dtype=float32)",1,306
"tf.Tensor(0.4851479, shape=(), dtype=float32)",1,307
"tf.Tensor(0.4779865, shape=(), dtype=float32)",1,308
"tf.Tensor(0.48313826, shape=(), dtype=float32)",1,309
"tf.Tensor(0.46929222, shape=(), dtype=float32)",1,310
"tf.Tensor(0.45987135, shape=(), dtype=float32)",1,311
"tf.Tensor(0.47599828, shape=(), dtype=float32)",1,312
"tf.Tensor(0.47489238, shape=(), dtype=float32)",1,313
"tf.Tensor(0.47886682, shape=(), dtype=float32)",1,314
"tf.Tensor(0.4757532, shape=(), dtype=float32)",1,315
"tf.Tensor(0.4996161, shape=(), dtype=float32)",1,316
"tf.Tensor(0.476261, shape=(), dtype=float32)",1,317
"tf.Tensor(0.48768574, shape=(), dtype=float32)",1,318
"tf.Tensor(0.48367476, shape=(), dtype=float32)",1,319
"tf.Tensor(0.4722492, shape=(), dtype=float32)",1,320
"tf.Tensor(0.4622699, shape=(), dtype=float32)",1,321
"tf.Tensor(0.4826516, shape=(), dtype=float32)",1,322
"tf.Tensor(0.47939312, shape=(), dtype=float32)",1,323
"tf.Tensor(0.4633873, shape=(), dtype=float32)",1,324
"tf.Tensor(0.48625714, shape=(), dtype=float32)",1,325
"tf.Tensor(0.46106276, shape=(), dtype=float32)",1,326
"tf.Tensor(0.4722888, shape=(), dtype=float32)",1,327
"tf.Tensor(0.47521412, shape=(), dtype=float32)",1,328
"tf.Tensor(0.46097332, shape=(), dtype=float32)",1,329
"tf.Tensor(0.45918012, shape=(), dtype=float32)",1,330
"tf.Tensor(0.4679963, shape=(), dtype=float32)",1,331
"tf.Tensor(0.4841557, shape=(), dtype=float32)",1,332
"tf.Tensor(0.47242737, shape=(), dtype=float32)",1,333
"tf.Tensor(0.4699353, shape=(), dtype=float32)",1,334
"tf.Tensor(0.48332107, shape=(), dtype=float32)",1,335
"tf.Tensor(0.4788866, shape=(), dtype=float32)",1,336
"tf.Tensor(0.4896322, shape=(), dtype=float32)",1,337
"tf.Tensor(0.47337562, shape=(), dtype=float32)",1,338
"tf.Tensor(0.4601285, shape=(), dtype=float32)",1,339
"tf.Tensor(0.47774267, shape=(), dtype=float32)",1,340
"tf.Tensor(0.4787317, shape=(), dtype=float32)",1,341
"tf.Tensor(0.4695683, shape=(), dtype=float32)",1,342
"tf.Tensor(0.48676926, shape=(), dtype=float32)",1,343
"tf.Tensor(0.46789694, shape=(), dtype=float32)",1,344
"tf.Tensor(0.4872455, shape=(), dtype=float32)",1,345
"tf.Tensor(0.46176988, shape=(), dtype=float32)",1,346
"tf.Tensor(0.47901708, shape=(), dtype=float32)",1,347
"tf.Tensor(0.47143412, shape=(), dtype=float32)",1,348
"tf.Tensor(0.47794932, shape=(), dtype=float32)",1,349
"tf.Tensor(0.46961308, shape=(), dtype=float32)",1,350
"tf.Tensor(0.46191752, shape=(), dtype=float32)",1,351
"tf.Tensor(0.4690964, shape=(), dtype=float32)",1,352
"tf.Tensor(0.48083523, shape=(), dtype=float32)",1,353
"tf.Tensor(0.461202, shape=(), dtype=float32)",1,354
"tf.Tensor(0.4669037, shape=(), dtype=float32)",1,355
"tf.Tensor(0.4880507, shape=(), dtype=float32)",1,356
"tf.Tensor(0.4730512, shape=(), dtype=float32)",1,357
"tf.Tensor(0.47672915, shape=(), dtype=float32)",1,358
"tf.Tensor(0.4837978, shape=(), dtype=float32)",1,359
"tf.Tensor(0.47489238, shape=(), dtype=float32)",1,360
